Start_Time,End_Time,F0_Hz
0.0,0.01,216.8453740602837
0.01,0.02,232.40911739156792
0.02,0.03,225.79288096122622
0.03,0.04,223.1994285260446
0.04,0.05,221.91389441356898
0.05,0.06,219.36499593892518
0.06,0.07,218.10154653305153
0.07,0.08,219.36499593892518
0.08,0.09,219.36499593892518
0.09,0.1,221.91389441356898
0.1,0.11,223.1994285260446
0.11,0.12,225.79288096122622
0.12,0.13,228.41646786215435
0.13,0.14,229.73967099940702
0.14,0.15,233.75544971224912
0.15,0.16,236.47155720542963
0.16,0.17,236.47155720542963
0.17,0.18,236.47155720542963
0.18,0.19,225.79288096122622
0.19,0.2,214.35469250725862
0.2,0.21,204.67477839935495
0.21,0.22,198.8480847635095
0.22,0.23,201.15858821357068
0.23,0.24,213.12010032569688
0.24,0.25,215.59643660857103
0.25,0.26,214.35469250725862
0.26,0.27,213.12010032569688
0.27,0.28,209.4588245641254
0.28,0.29,202.3238880603845
0.29,0.3,193.1872657849691
0.3,0.31,183.40080864093423
0.31,0.32,180.25009252216606
0.32,0.33,182.34449771164336
0.33,0.34,182.34449771164336
0.34,0.35,183.40080864093423
0.35,0.36,183.40080864093423
0.36,0.37,182.34449771164336
0.37,0.38,181.29427068562208
0.38,0.39,179.21192838239048
0.39,0.4,177.1535038204721
0.4,0.41,175.11872228117704
0.41,0.42,175.11872228117704
0.42,0.43,175.11872228117704
0.43,0.44,166.24757922855756
0.44,0.45,0.0
0.45,0.46,0.0
0.46,0.47,0.0
0.47,0.48,0.0
0.48,0.49,0.0
0.49,0.5,0.0
0.5,0.51,0.0
0.51,0.52,0.0
0.52,0.53,0.0
0.53,0.54,0.0
0.54,0.55,0.0
0.55,0.56,0.0
0.56,0.57,0.0
0.57,0.58,0.0
0.58,0.59,0.0
0.59,0.6,196.56411970905023
0.6,0.61,187.68759933422865
0.61,0.62,183.40080864093423
0.62,0.63,181.29427068562208
0.63,0.64,179.21192838239048
0.64,0.65,179.21192838239048
0.65,0.66,179.21192838239048
0.66,0.67,178.17974362806785
0.67,0.68,180.25009252216606
0.68,0.69,178.17974362806785
0.69,0.7,0.0
0.7,0.71,0.0
0.71,0.72,0.0
0.72,0.73,0.0
0.73,0.74,0.0
0.74,0.75,0.0
0.75,0.76,0.0
0.76,0.77,0.0
0.77,0.78,0.0
0.78,0.79,0.0
0.79,0.8,0.0
0.8,0.81,0.0
0.81,0.82,0.0
0.82,0.83,0.0
0.83,0.84,0.0
0.84,0.85,0.0
0.85,0.86,0.0
0.86,0.87,0.0
0.87,0.88,0.0
0.88,0.89,0.0
0.89,0.9,0.0
0.9,0.91,0.0
0.91,0.92,0.0
0.92,0.93,0.0
0.93,0.94,0.0
0.94,0.95,0.0
0.95,0.96,0.0
0.96,0.97,0.0
0.97,0.98,0.0
0.98,0.99,0.0
0.99,1.0,0.0
1.0,1.01,0.0
1.01,1.02,0.0
1.02,1.03,0.0
1.03,1.04,0.0
1.04,1.05,0.0
1.05,1.06,0.0
1.06,1.07,0.0
1.07,1.08,0.0
1.08,1.09,0.0
1.09,1.1,0.0
1.1,1.11,0.0
1.11,1.12,0.0
1.12,1.13,0.0
1.13,1.14,0.0
1.14,1.15,0.0
1.15,1.16,0.0
1.16,1.17,0.0
1.17,1.18,0.0
1.18,1.19,0.0
1.19,1.2,0.0
1.2,1.21,0.0
1.21,1.22,0.0
1.22,1.23,0.0
1.23,1.24,0.0
1.24,1.25,0.0
1.25,1.26,0.0
1.26,1.27,0.0
1.27,1.28,0.0
1.28,1.29,0.0
1.29,1.3,0.0
1.3,1.31,0.0
1.31,1.32,0.0
1.32,1.33,0.0
1.33,1.34,0.0
1.34,1.35,0.0
1.35,1.36,0.0
1.36,1.37,0.0
1.37,1.38,0.0
1.38,1.39,0.0
1.39,1.4,0.0
1.4,1.41,0.0
1.41,1.42,0.0
1.42,1.43,0.0
1.43,1.44,0.0
1.44,1.45,0.0
1.45,1.46,0.0
1.46,1.47,221.91389441356898
1.47,1.48,209.4588245641254
1.48,1.49,204.67477839935495
1.49,1.5,204.67477839935495
1.5,1.51,203.49593842053727
1.51,1.52,202.3238880603845
1.52,1.53,202.3238880603845
1.53,1.54,201.15858821357068
1.54,1.55,198.8480847635095
1.55,1.56,197.70280407057922
1.56,1.57,195.43199368684918
1.57,1.58,194.30638823072118
1.58,1.59,193.1872657849691
1.59,1.6,192.07458901020084
1.6,1.61,190.9683207820833
1.61,1.62,189.86842419010387
1.62,1.63,186.60659830736148
1.63,1.64,183.40080864093423
1.64,1.65,179.21192838239048
1.65,1.66,176.1331747192297
1.66,1.67,173.1073122012286
1.67,1.68,171.11900513652043
1.68,1.69,172.11028744886602
1.69,1.7,175.11872228117704
1.7,1.71,178.17974362806785
1.71,1.72,179.21192838239048
1.72,1.73,179.21192838239048
1.73,1.74,178.17974362806785
1.74,1.75,176.1331747192297
1.75,1.76,174.11011265922482
1.76,1.77,173.1073122012286
1.77,1.78,172.11028744886602
1.78,1.79,172.11028744886602
1.79,1.8,170.13343219017113
1.8,1.81,170.13343219017113
1.81,1.82,169.1535357262897
1.82,1.83,168.1792830507429
1.83,1.84,162.4504792712471
1.84,1.85,159.65967727133
1.85,1.86,158.74010519681997
