Start_Time,End_Time,F0_Hz
0.0,0.01,187.68759933422865
0.01,0.02,182.34449771164336
0.02,0.03,181.29427068562208
0.03,0.04,181.29427068562208
0.04,0.05,182.34449771164336
0.05,0.06,182.34449771164336
0.06,0.07,183.40080864093423
0.07,0.08,183.40080864093423
0.08,0.09,183.40080864093423
0.09,0.1,182.34449771164336
0.1,0.11,174.11011265922482
0.11,0.12,0.0
0.12,0.13,0.0
0.13,0.14,0.0
0.14,0.15,0.0
0.15,0.16,0.0
0.16,0.17,189.86842419010387
0.17,0.18,188.7748625363387
0.18,0.19,193.1872657849691
0.19,0.2,192.07458901020084
0.2,0.21,189.86842419010387
0.21,0.22,188.7748625363387
0.22,0.23,187.68759933422865
0.23,0.24,186.60659830736148
0.24,0.25,185.5318233882619
0.25,0.26,184.46323871718783
0.26,0.27,184.46323871718783
0.27,0.28,185.5318233882619
0.28,0.29,184.46323871718783
0.29,0.3,183.40080864093423
0.3,0.31,183.40080864093423
0.31,0.32,179.21192838239048
0.32,0.33,177.1535038204721
0.33,0.34,174.11011265922482
0.34,0.35,0.0
0.35,0.36,0.0
0.36,0.37,0.0
0.37,0.38,0.0
0.38,0.39,177.1535038204721
0.39,0.4,175.11872228117704
0.4,0.41,174.11011265922482
0.41,0.42,175.11872228117704
0.42,0.43,175.11872228117704
0.43,0.44,174.11011265922482
0.44,0.45,174.11011265922482
0.45,0.46,173.1073122012286
0.46,0.47,171.11900513652043
0.47,0.48,171.11900513652043
0.48,0.49,0.0
0.49,0.5,0.0
0.5,0.51,0.0
0.51,0.52,0.0
0.52,0.53,0.0
0.53,0.54,0.0
0.54,0.55,0.0
0.55,0.56,168.1792830507429
0.56,0.57,168.1792830507429
0.57,0.58,167.2106416577019
0.58,0.59,166.24757922855756
0.59,0.6,165.29006363084235
0.6,0.61,163.39154532410998
0.61,0.62,162.4504792712471
0.62,0.63,160.5845763726753
0.63,0.64,159.65967727133
0.64,0.65,158.74010519681997
0.65,0.66,157.8258294677283
0.66,0.67,156.0130452026747
0.67,0.68,152.4497023255762
0.68,0.69,155.11447618337345
0.69,0.7,152.4497023255762
0.7,0.71,151.57165665103983
0.71,0.72,148.96774631227024
0.72,0.73,147.25670581005258
0.73,0.74,145.56531828421873
0.74,0.75,143.893358001082
0.75,0.76,142.24060181972814
0.76,0.77,141.4213562373095
0.77,0.78,141.4213562373095
0.78,0.79,142.24060181972814
0.79,0.8,143.893358001082
0.8,0.81,0.0
0.81,0.82,0.0
0.82,0.83,0.0
0.83,0.84,0.0
0.84,0.85,0.0
0.85,0.86,0.0
0.86,0.87,0.0
0.87,0.88,0.0
0.88,0.89,0.0
0.89,0.9,0.0
0.9,0.91,0.0
0.91,0.92,0.0
0.92,0.93,0.0
0.93,0.94,0.0
0.94,0.95,0.0
0.95,0.96,0.0
0.96,0.97,0.0
0.97,0.98,0.0
0.98,0.99,0.0
0.99,1.0,0.0
1.0,1.01,0.0
1.01,1.02,0.0
1.02,1.03,0.0
1.03,1.04,0.0
1.04,1.05,0.0
1.05,1.06,0.0
1.06,1.07,0.0
1.07,1.08,0.0
1.08,1.09,0.0
1.09,1.1,0.0
1.1,1.11,0.0
1.11,1.12,0.0
1.12,1.13,0.0
1.13,1.14,0.0
1.14,1.15,0.0
1.15,1.16,0.0
1.16,1.17,0.0
1.17,1.18,0.0
1.18,1.19,0.0
1.19,1.2,0.0
1.2,1.21,0.0
1.21,1.22,0.0
1.22,1.23,0.0
1.23,1.24,0.0
1.24,1.25,0.0
1.25,1.26,0.0
1.26,1.27,0.0
1.27,1.28,0.0
1.28,1.29,0.0
1.29,1.3,0.0
1.3,1.31,0.0
1.31,1.32,0.0
1.32,1.33,0.0
1.33,1.34,0.0
1.34,1.35,0.0
1.35,1.36,0.0
1.36,1.37,0.0
1.37,1.38,0.0
1.38,1.39,0.0
1.39,1.4,0.0
1.4,1.41,0.0
1.41,1.42,0.0
1.42,1.43,0.0
1.43,1.44,0.0
1.44,1.45,0.0
1.45,1.46,0.0
1.46,1.47,0.0
1.47,1.48,0.0
1.48,1.49,0.0
1.49,1.5,0.0
1.5,1.51,0.0
1.51,1.52,0.0
1.52,1.53,0.0
1.53,1.54,0.0
1.54,1.55,0.0
1.55,1.56,0.0
1.56,1.57,0.0
1.57,1.58,0.0
1.58,1.59,0.0
1.59,1.6,0.0
1.6,1.61,0.0
1.61,1.62,0.0
1.62,1.63,0.0
1.63,1.64,0.0
1.64,1.65,0.0
1.65,1.66,0.0
